Date,State_National,ConfirmedCasesIndian_National,ConfirmedCasesForeign_National,Discharged_National,Deaths_National,TotalConfirmed_National
2020-03-10,47,31,16,0,0,0
2020-03-11,60,44,16,0,0,0
2020-03-12,73,56,17,0,0,0
2020-03-13,82,65,17,10,2,0
2020-03-14,84,67,17,10,2,0
2020-03-15,110,93,17,13,2,0
2020-03-16,114,97,17,13,2,0
2020-03-17,137,113,24,14,3,0
2020-03-18,151,126,25,14,3,0
2020-03-19,173,148,25,20,4,0
2020-03-20,223,191,32,23,4,0
2020-03-21,283,244,39,23,4,0
2020-03-22,360,319,41,24,7,0
2020-03-23,467,393,40,35,8,34
2020-03-24,519,476,43,40,10,0
2020-03-25,606,563,43,43,10,0
2020-03-26,694,647,47,45,15,0
2020-03-27,724,677,47,67,17,0
2020-03-28,909,862,47,80,19,0
2020-03-29,1024,976,48,96,27,0
2020-03-30,1251,1157,48,102,31,46
2020-03-31,1397,1311,48,124,35,38
2020-04-01,1834,1786,48,144,41,0
2020-04-02,2069,2021,48,156,53,0
2020-04-03,2547,2422,48,163,62,77
2020-04-04,3072,3024,48,213,75,0
2020-04-05,3577,3529,48,275,83,0
2020-04-06,4281,4233,48,319,111,0
2020-04-07,4789,4741,48,353,124,0
2020-04-08,5274,5226,48,411,149,0
2020-04-09,5865,5817,48,478,169,0
2020-04-10,6761,6713,48,516,206,0
2020-04-11,7529,7481,48,653,242,0
2020-04-12,8447,8399,48,765,273,0
2020-04-13,9352,9304,48,980,324,0
2020-04-14,10815,10767,48,1190,353,0
2020-04-15,11933,11885,48,1344,392,0
2020-04-16,12759,12711,48,1515,420,0
2020-04-17,13835,13787,48,1767,452,0
2020-04-18,14792,14744,48,2015,488,0
2020-04-19,16116,16068,48,2302,519,0
2020-04-20,17656,17608,48,2842,559,0
2020-04-21,18985,18937,48,3260,603,0
2020-04-22,20471,20423,48,3960,652,0
2020-04-23,21700,21652,48,4325,686,0
2020-04-24,23452,23404,48,4814,723,0
2020-04-25,24942,24845,48,5210,779,49
2020-04-26,26917,26557,48,5914,826,312
2020-04-27,28380,28112,48,6362,886,220
2020-04-28,29974,29786,48,7027,937,140
2020-04-29,31709,31661,48,7797,1008,0
2020-04-30,33610,33282,48,8373,1075,280
2020-05-01,35365,34924,48,9065,1152,393
2020-05-02,37776,37623,48,10018,1223,105
2020-05-03,40263,40076,48,10887,1306,139
2020-05-04,42836,42788,48,11762,1389,0
2020-05-05,46711,46663,48,13161,1583,0
2020-05-06,49391,49343,48,14183,1694,0
2020-05-07,52952,52904,48,15267,1783,0
2020-05-08,56342,56294,48,16540,1886,0
2020-05-09,59662,59614,48,17847,1981,0
2020-05-10,62939,62891,48,19358,2109,0
2020-05-11,67152,67104,48,20917,2206,0
2020-05-12,70756,70708,48,22455,2293,0
2020-05-13,74281,74233,48,24386,2415,0
2020-05-14,78003,77955,48,26235,2549,0
2020-05-15,81970,81922,48,27920,2649,0
2020-05-16,85710,85662,48,30153,2752,0
2020-05-17,90927,90589,48,34109,2872,290
2020-05-18,96169,95711,48,36824,3029,410
2020-05-19,101139,100277,48,39174,3163,814
2020-05-20,106750,105606,48,42298,3303,1096
2020-05-21,112359,110908,48,45300,3435,1403
2020-05-22,118447,116779,48,48534,3583,1620
2020-05-23,125101,123154,48,51784,3720,1899
2020-05-24,131868,129482,48,54441,3867,2338
2020-05-25,138845,136155,48,57721,4021,2642
2020-05-26,145380,142362,48,60491,4167,2970
2020-05-27,151767,147706,48,64426,4337,4013
2020-05-28,158333,153953,48,67692,4531,4332
2020-05-29,165799,161078,48,71106,4706,4673
2020-05-30,173763,168672,48,82370,4971,5043
2020-05-31,182143,176604,48,86984,5164,5491
2020-06-01,190535,184857,48,91819,5394,5630
2020-06-02,198706,192244,48,95527,5598,6414
2020-06-03,207615,200444,48,100303,5815,7123
2020-06-04,216919,209388,48,104107,6075,7483
2020-06-05,226770,219112,48,109462,6348,7610
2020-06-06,236657,228417,48,114073,6642,8192
2020-06-07,246628,237975,48,119293,6929,8605
2020-06-08,256611,248726,48,124430,7200,7837
2020-06-09,266598,257839,48,129314,7471,8711
2020-06-10,276583,267308,48,135206,7745,9227
2020-06-11,286579,277610,38,141029,8102,8931
2020-06-12,297535,289182,38,147195,8498,8315
2020-06-13,308993,300971,38,154330,8884,7984
2020-06-14,320922,313448,38,162379,9195,7436
2020-06-15,332424,325414,38,169798,9520,6972
2020-06-16,343091,335369,38,180013,9900,7684
2020-06-17,354065,345754,38,186935,11903,8273
2020-06-18,366946,358205,38,194325,12237,8703
2020-06-19,380532,371567,38,204711,12573,8927
2020-06-20,395048,385745,38,213831,12948,9265
2020-06-21,410461,401296,38,227756,13254,9127
2020-06-22,425282,417412,38,237196,13699,7832
2020-06-23,440215,432162,38,248190,14011,8015
2020-06-24,456183,448004,38,258685,14476,8141
2020-06-25,473105,464574,38,271697,14894,8493
2020-06-26,490401,482240,38,285637,15301,8123
2020-06-27,508953,500892,38,295881,15685,8023
2020-06-28,528859,520982,38,309713,16095,7839
2020-06-29,548318,540995,38,321723,16475,7285
2020-06-30,566840,559798,38,334822,16893,7004
2020-07-01,585493,578540,38,347979,17400,6915
2020-07-02,604641,597771,38,359860,17834,6832
2020-07-03,625544,619475,38,379892,18213,6031
2020-07-04,648315,643278,38,394227,18655,4999
